time_s,tank_TANK,pump_PUMP1,pump_PUMP2
15600,3.1988748490552865,ON,OFF
15900,3.184896689317384,ON,OFF
16200,3.170926351451911,ON,OFF
16500,3.1569638304649317,ON,OFF
16800,3.1430091213665463,ON,OFF
17100,3.1290622191709048,ON,OFF
17400,3.115123118896193,ON,OFF
17700,3.1011918155646043,ON,OFF
18000,3.0872683042023823,ON,OFF
18300,3.0768397244955423,ON,OFF
18600,3.0664170183243584,ON,OFF
18900,3.0560001818588205,ON,OFF
19200,3.045589211442035,ON,OFF
19500,3.0351841034198515,ON,OFF
19800,3.0247848541408757,ON,OFF
20100,3.0143914599564567,ON,OFF
20400,3.004003917220686,ON,OFF
20700,2.9936222222903837,ON,OFF
21000,2.9832463715251265,ON,OFF
21300,2.97287636128722,ON,OFF
21600,2.962512187941684,ON,OFF
21900,2.9438723830935487,ON,OFF
22200,2.9252430073810416,ON,OFF
22500,2.9066240532930436,ON,OFF
22800,2.8880155138835875,ON,OFF
23100,2.8694173822130296,ON,OFF
23400,2.850829651348036,ON,OFF
23700,2.8322523143616394,ON,OFF
24000,2.8136853643331676,ON,OFF
24300,2.7951287943482725,ON,OFF
24600,2.7765825974989298,ON,OFF
24900,2.758046766883382,ON,OFF
25200,2.739521295606167,ON,OFF
25500,2.725143090810832,ON,OFF
25800,2.7107729114139403,ON,OFF
26100,2.6964107519719676,ON,OFF
26400,2.682056607367713,ON,OFF
26700,2.6677104724881104,ON,OFF
27000,2.653372342224216,ON,OFF
27300,2.6390422114712635,ON,OFF
27600,2.624720075128593,ON,OFF
27900,2.610405928099695,ON,OFF
28200,2.5960997652921662,ON,OFF
28500,2.5818015816177535,ON,OFF
28800,2.5675113719923104,ON,OFF
29100,2.5590948807261924,ON,OFF
29400,2.5506831311397633,ON,OFF
29700,2.542276120225395,ON,OFF
30000,2.5338738450884364,ON,OFF
30300,2.525476302836296,ON,OFF
30600,2.517083490578429,ON,OFF
30900,2.5086954054263373,ON,OFF
31200,2.5003120444936116,ON,OFF
31500,2.4919334048958603,ON,OFF
31800,2.483559483750753,ON,OFF
32100,2.4751902781780046,ON,OFF
32400,2.466825785299392,ON,OFF
32700,2.4429948164155633,ON,OFF
33000,2.41917713497989,ON,OFF
33300,2.395372731792648,ON,OFF
33600,2.3715815976571264,ON,OFF
33900,2.3478037233859084,ON,OFF
34200,2.3240390998008422,ON,OFF
34500,2.300287717733042,ON,OFF
34800,2.2765495680228582,ON,OFF
35100,2.252824641519865,ON,OFF
35400,2.229112929082845,ON,OFF
35700,2.205414421579775,ON,OFF
36000,2.1817291098878115,ON,OFF
36300,2.148567417108609,ON,OFF
36600,2.1154240229253816,ON,OFF
36900,2.082298913860825,ON,OFF
37200,2.04919207645176,ON,OFF
37500,2.0161034972509526,ON,OFF
37800,1.983033162827084,ON,OFF
38100,1.9499810597647382,ON,OFF
38400,1.9169471746643012,ON,OFF
38700,1.8839314941420042,ON,OFF
39000,1.8509340048298526,ON,OFF
39300,1.817954693375583,ON,OFF
39600,1.7849935464426494,ON,OFF
39900,1.768587790710086,ON,OFF
40200,1.7521910461787655,ON,OFF
40500,1.7358033067418575,ON,OFF
40800,1.7194245666668166,ON,OFF
41100,1.703054820225816,ON,OFF
41400,1.6866940616957464,ON,OFF
41700,1.6703422853582168,ON,OFF
42000,1.6539994854995683,ON,OFF
42300,1.63766565641086,ON,OFF
42600,1.6213407923878407,ON,OFF
42900,1.605024887730977,ON,OFF
43200,1.5887179367454394,ON,OFF
43500,1.5744507232418101,ON,OFF
43800,1.5601913447805913,ON,OFF
44100,1.5459397962338244,ON,OFF
44400,1.5316960727093658,ON,OFF
44700,1.5174601693188947,ON,OFF
45000,1.5032320811779414,ON,OFF
45300,1.489011803405873,ON,OFF
45600,1.474799331125908,ON,OFF
45900,1.4605946594651016,ON,OFF
46200,1.4463977835543318,ON,OFF
46500,1.4322086985283136,ON,OFF
46800,1.4180273995255845,ON,OFF
47100,1.4069871308321211,ON,OFF
47400,1.3959529261223906,ON,OFF
47700,1.3849247815730763,ON,OFF
48000,1.3739026935021172,ON,OFF
48300,1.36288665823011,ON,OFF
48600,1.3518766720803512,ON,OFF
48900,1.3408727313788376,ON,OFF
49200,1.3298748324542515,ON,OFF
49500,1.318882971637933,ON,OFF
49800,1.3078971452639365,ON,OFF
50100,1.2969173496689734,ON,OFF
50400,1.2859435811924413,ON,OFF
50700,1.2730587578149368,ON,OFF
51000,1.2601810024387845,ON,OFF
51300,1.2473103104700272,ON,OFF
51600,1.2344466775540894,ON,OFF
51900,1.2215900993396929,ON,OFF
52200,1.208740571478856,ON,OFF
52500,1.1958980896269367,ON,OFF
52800,1.1830626494425758,ON,OFF
53100,1.1702342465877393,ON,OFF
53400,1.1574128767276761,ON,OFF
53700,1.1445985355309318,ON,OFF
54000,1.1317912186693633,ON,OFF
54300,1.1202690438696266,ON,OFF
54600,1.1087531871594791,ON,OFF
54900,1.0972436445001108,ON,OFF
55200,1.0857404120467464,ON,OFF
55500,1.0742434859574388,ON,OFF
55800,1.0627528623930544,ON,OFF
56100,1.0512685375173305,ON,OFF
56400,1.0397905074967895,ON,OFF
56700,1.0283187685008102,ON,OFF
57000,1.0168533167015852,ON,OFF
57300,1.0053941482741209,ON,OFF
57600,1.0088818745681607,ON,ON
57900,1.0228049370983001,ON,ON
58200,1.0367167233391683,ON,ON
58500,1.050617240803902,ON,ON
58800,1.0645064974470273,ON,ON
59100,1.078384501219091,ON,ON
59400,1.0922512600666465,ON,ON
59700,1.1061067819321835,ON,ON
60000,1.1199510747541694,ON,ON
60300,1.1337841464670646,ON,ON
60600,1.147606005001279,ON,ON
60900,1.1614166582832013,ON,ON
61200,1.175216114235198,ON,ON
61500,1.1695994372182525,ON,ON
61800,1.1639874102583434,ON,ON
62100,1.158380029277211,ON,ON
62400,1.1527772902767168,ON,ON
62700,1.147179189262431,ON,ON
63000,1.141585722243633,ON,ON
63300,1.135996885233297,ON,ON
63600,1.1304126742480918,ON,ON
63900,1.1248330853083957,ON,ON
64200,1.1192581144382672,ON,ON
64500,1.1136877576654314,ON,ON
64800,1.1081220110213366,ON,ON
65100,1.0945518361849196,ON,ON
65400,1.0809928440747,ON,ON
65700,1.067445024174944,ON,ON
66000,1.0539083663837658,ON,ON
66300,1.0403828606100944,ON,ON
66600,1.026868496773659,ON,ON
66900,1.013365264804989,ON,ON
67200,0.9998731546453854,ON,ON
67500,0.9863921562469216,ON,ON
67800,0.9729222595724281,ON,ON
68100,0.9594634545954648,ON,ON
68400,0.9460157313003208,ON,ON
68700,0.9346353192507308,ON,ON
69000,0.9232642873018335,ON,ON
69300,0.9119026267854338,ON,ON
69600,0.9005503293507928,ON,ON
69900,0.8892073866557553,ON,ON
70200,0.8778737903667633,ON,ON
70500,0.8665495321588281,ON,ON
70800,0.8552346037155445,ON,ON
71100,0.8439289967290478,ON,ON
71400,0.8326327029000424,ON,ON
71700,0.8213457139377596,ON,ON
72000,0.8100680215599567,ON,ON
72300,0.8073166590790066,ON,ON
72600,0.8045675972435617,ON,ON
72900,0.801820834083756,ON,ON
73200,0.7990763676408648,ON,ON
73500,0.7963341959579111,ON,ON
73800,0.7935943170796378,ON,ON
74100,0.790856729052507,ON,ON
74400,0.7881214299247432,ON,ON
74700,0.7853884177462618,ON,ON
75000,0.7826576905687119,ON,ON
75300,0.7799292464454908,ON,ON
75600,0.7772030834316723,ON,ON
75900,0.7794676245313639,ON,ON
76200,0.7817302762547058,ON,ON
76500,0.78399104020788,ON,ON
76800,0.7862499179307036,ON,ON
77100,0.7885069109618001,ON,ON
77400,0.7907620208385708,ON,ON
77700,0.7930152490972517,ON,ON
78000,0.7952665972728425,ON,ON
78300,0.7975160668991919,ON,ON
78600,0.7997636595089119,ON,ON
78900,0.8020093766334497,ON,ON
79200,0.8042532198030301,ON,ON
79500,0.8093042400966084,ON,ON
79800,0.8143510688297795,ON,ON
80100,0.819393709238156,ON,ON
80400,0.8244321646282629,ON,ON
80700,0.8294664383042658,ON,ON
81000,0.8344965335680001,ON,ON
81300,0.8395224537189279,ON,ON
81600,0.8445442020541805,ON,ON
81900,0.8495617818685588,ON,ON
82200,0.8545751964544905,ON,ON
82500,0.8595844491021012,ON,ON
82800,0.864589543099143,ON,ON
83100,0.8679588109273766,ON,ON
83400,0.8713252783757639,ON,ON
83700,0.8746889476575461,ON,ON
84000,0.8780498210221026,ON,ON
84300,0.88140790071715,ON,ON
84600,0.884763188988714,ON,ON
84900,0.888115688081129,ON,ON
85200,0.8914654002370241,ON,ON
85500,0.8948123276973803,ON,ON
85800,0.8981564727014728,ON,ON
86100,0.9014978374869145,ON,ON
