time_s,tank_TANK,pump_PUMP1,pump_PUMP2
76200,3.9651159103857907,ON,ON
76500,3.964684550053491,ON,ON
76800,3.964253559118319,ON,ON
77100,3.963822937263032,ON,ON
77400,3.963392684170657,ON,ON
77700,3.9629627995244903,ON,ON
78000,3.962533283008085,ON,ON
78300,3.9621041343052923,ON,ON
78600,3.961675353100219,ON,ON
78900,3.961246939077256,ON,ON
79200,3.9608188919210647,ON,ON
79500,3.9632161690867065,ON,ON
79800,3.965611403795876,ON,ON
80100,3.9680045978051055,ON,ON
80400,3.97039575281066,ON,ON
80700,3.972784870507482,ON,ON
81000,3.9751719525891502,ON,ON
81300,3.9775570007479075,ON,ON
81600,3.979940016674675,ON,ON
81900,3.982321002059038,ON,ON
82200,3.9846999585892178,ON,ON
82500,3.987076887952128,ON,ON
82800,3.9894517918333463,ON,ON
83100,3.990189619658068,ON,ON
83400,3.99092681774691,ON,ON
83700,3.991663386631714,ON,ON
84000,3.9923993268453586,ON,ON
84300,3.9931346389202673,ON,ON
84600,3.9938693233884237,ON,ON
84900,3.9946033807813848,ON,ON
85200,3.9953368116302386,ON,ON
85500,3.996069616465661,ON,ON
85800,3.996801795817859,ON,ON
86100,3.9975333502165995,ON,ON
