time_s,tank_TANK,pump_PUMP1,pump_PUMP2
0,3.0,ON,ON
300,2.9865241486514975,ON,ON
600,2.9730595621350773,ON,ON
900,2.959606229627809,ON,ON
1200,2.9461641407885395,ON,ON
1500,2.9327332852873695,ON,ON
1800,2.919313652805698,ON,ON
2100,2.9059052330361936,ON,ON
2400,2.8925080156827505,ON,ON
2700,2.8791219904605185,ON,ON
3000,2.8657471470958598,ON,ON
3300,2.8523834753263344,ON,ON
3600,2.839030964900715,ON,ON
3900,2.828199257029965,ON,ON
4200,2.817376619819484,ON,ON
4500,2.8065630448107157,ON,ON
4800,2.7957585238112728,ON,ON
5100,2.784963048637266,ON,ON
5400,2.7741766111133472,ON,ON
5700,2.76339920307268,ON,ON
6000,2.7526308163569553,ON,ON
6300,2.741871442816361,ON,ON
6600,2.7311210743095558,ON,ON
6900,2.7203797027036813,ON,ON
7200,2.7096473198743354,ON,ON
7500,2.7007142337992747,ON,ON
7800,2.6917886322217868,ON,ON
8100,2.6828705082651823,ON,ON
8400,2.6739598552557737,ON,ON
8700,2.665056666526567,ON,ON
9000,2.65616093541729,ON,ON
9300,2.6472726552743495,ON,ON
9600,2.6383918194508453,ON,ON
9900,2.629518421306571,ON,ON
10200,2.6206524542079705,ON,ON
10500,2.611793911528167,ON,ON
10800,2.602942786646935,ON,ON
11100,2.6108046559940163,ON,ON
11400,2.618659953821748,ON,ON
11700,2.6265086850022215,ON,ON
12000,2.634350854605543,ON,ON
12300,2.6421864676985365,ON,ON
12600,2.650015529344742,ON,ON
12900,2.657838044604432,ON,ON
13200,2.6656540185345676,ON,ON
13500,2.6734634561888555,ON,ON
13800,2.68126636261772,ON,ON
14100,2.689062742868302,ON,ON
14400,2.6968526019844603,ON,ON
14700,2.711260024073212,ON,ON
15000,2.7256555382595593,ON,ON
15300,2.7400391529145054,ON,ON
15600,2.7544108765299313,ON,ON
15900,2.7687707175935117,ON,ON
16200,2.783118684588672,ON,ON
16500,2.797454785994617,ON,ON
16800,2.8117790302863455,ON,ON
17100,2.8260914259346066,ON,ON
17400,2.840391981405915,ON,ON
17700,2.8546807051625933,ON,ON
18000,2.868957605662686,ON,ON
18300,2.886825923536236,ON,ON
18600,2.904679445592251,ON,ON
18900,2.9225181809777467,ON,ON
19200,2.9403421398658764,ON,ON
19500,2.9581513324256434,ON,ON
19800,2.975945768821731,ON,ON
20100,2.9937254592145166,ON,ON
20400,3.0114904137600718,ON,ON
20700,3.0292406426101763,ON,ON
21000,3.04697615591229,ON,ON
21300,3.064696963809567,ON,ON
21600,3.0824030764408406,ON,ON
21900,3.092007280432739,ON,ON
22200,3.1016034501480334,ON,ON
22500,3.1111915913711528,ON,ON
22800,3.1207717101936794,ON,ON
23100,3.130343812703515,ON,ON
23400,3.139907904984881,ON,ON
23700,3.1494639931182746,ON,ON
24000,3.1590120831805137,ON,ON
24300,3.168552181244692,ON,ON
24600,3.1780842933802234,ON,ON
24900,3.1876084256528117,ON,ON
25200,3.1971245841244667,ON,ON
25500,3.2106798423113787,ON,ON
25800,3.2242238389926285,ON,ON
26100,3.2377565817058525,ON,ON
26400,3.2512780785920654,ON,ON
26700,3.2647883377881186,ON,ON
27000,3.2782873674266426,ON,ON
27300,3.29177517563609,ON,ON
27600,3.3052517705406643,ON,ON
27900,3.318717160260377,ON,ON
28200,3.3321713529110184,ON,ON
28500,3.345614356604173,ON,ON
28800,3.359046179447219,ON,ON
29100,3.378534901566809,ON,ON
29400,3.398007423673306,ON,ON
29700,3.4174637554850733,ON,ON
30000,3.436903907968258,ON,ON
30300,3.4563278920849427,ON,ON
30600,3.4757357187929756,ON,ON
30900,3.4951273990459555,ON,ON
31200,3.514502943793204,ON,ON
31500,3.5338623639798072,ON,ON
31800,3.553205670546575,ON,ON
32100,3.572532874430081,ON,ON
32400,3.5918439865626226,ON,ON
32700,3.5960580284680788,ON,ON
33000,3.6002684942907592,ON,ON
33300,3.604475386882342,ON,ON
33600,3.608678709147611,ON,ON
33900,3.6128784639891762,ON,ON
34200,3.617074654307487,ON,ON
34500,3.6212672830008614,ON,ON
34800,3.625456352965429,ON,ON
35100,3.629641867095188,ON,ON
35400,3.63382382828199,ON,ON
35700,3.6380022394155134,ON,ON
36000,3.642177103383304,ON,ON
36300,3.6367700228122146,ON,ON
36600,3.6313675172184503,ON,ON
36900,3.625969582506798,ON,ON
37200,3.620576214658172,ON,ON
37500,3.6151874096572953,ON,ON
37800,3.6098031634926997,ON,ON
38100,3.6044234721567108,ON,ON
38400,3.5990483316454345,ON,ON
38700,3.5936777379587994,ON,ON
39000,3.5883116871005143,ON,ON
39300,3.5829501750780537,ON,ON
39600,3.5775931979026865,ON,ON
39900,3.588065612885842,ON,ON
40200,3.598529359979679,ON,ON
40500,3.608984445484211,ON,ON
40800,3.619430875850867,ON,ON
41100,3.629868657527325,ON,ON
41400,3.640297796957512,ON,ON
41700,3.650718300581559,ON,ON
42000,3.661130174835833,ON,ON
42300,3.6715334261529478,ON,ON
42600,3.681928060961738,ON,ON
42900,3.692314085687258,ON,ON
43200,3.702691506750824,ON,ON
43500,3.7150692954524374,ON,ON
43800,3.7274368599790364,ON,ON
44100,3.7397942074375123,ON,ON
44400,3.7521413452736994,ON,ON
44700,3.7644782809294384,ON,ON
45000,3.7768050218425486,ON,ON
45300,3.7891215754468135,ON,ON
45600,3.8014279491719662,ON,ON
45900,3.8137241504437327,ON,ON
46200,3.8260101866838028,ON,ON
46500,3.8382860653098163,ON,ON
46800,3.8505517937353915,ON,ON
47100,3.865733337750143,ON,ON
47400,3.8809023816847628,ON,ON
47700,3.8960589337588942,ON,ON
48000,3.911203002781633,ON,ON
48300,3.92633459755794,ON,ON
48600,3.9414537268885397,ON,ON
48900,3.9565603995699234,ON,ON
49200,3.9716546243943753,ON,ON
49500,3.9867364101499447,ON,ON
49800,4.001805765620446,ON,ON
50100,4.0168626995854595,ON,ON
50400,4.031907220820358,ON,ON
50700,4.045157409114694,ON,ON
51000,4.058396642376422,ON,ON
51300,4.071624927967122,ON,ON
51600,4.084842273796497,ON,ON
51900,4.098048687770131,ON,ON
52200,4.111244177789516,ON,ON
52500,4.124428751751978,ON,ON
52800,4.137602417550738,ON,ON
53100,4.150765183074867,ON,ON
53400,4.163917056209328,ON,ON
53700,4.177058044834922,ON,ON
54000,4.1901881568283414,ON,ON
54300,4.2044995227002175,ON,ON
54600,4.21879906264239,ON,ON
54900,4.233086784432047,ON,ON
55200,4.247362696506087,ON,ON
55500,4.261626807297262,ON,ON
55800,4.275879125234127,ON,ON
56100,4.2901196587410055,ON,ON
56400,4.304348416238042,ON,ON
56700,4.318565406141147,ON,ON
57000,4.332770636862023,ON,ON
57300,4.346964116808181,ON,ON
57600,4.361145854382912,ON,ON
57900,4.37231881190543,ON,ON
58200,4.383482482460593,ON,ON
58500,4.394636872691962,ON,ON
58800,4.405781989485135,ON,ON
59100,4.416917839721805,ON,ON
59400,4.428044430279769,ON,ON
59700,4.439161768032861,ON,ON
60000,4.4502698598510335,ON,ON
60300,4.46136871260029,ON,ON
60600,4.47245833314274,ON,ON
60900,4.483538728336541,ON,ON
61200,4.494609905035958,ON,ON
61500,4.486217699639255,ON,ON
61800,4.477832582710661,ON,ON
62100,4.46945454770696,ON,ON
62400,4.461083588277276,ON,ON
62700,4.45271969807709,ON,ON
63000,4.444362870768288,ON,ON
63300,4.436013100019096,ON,ON
63600,4.427670379504093,ON,ON
63900,4.419334702904223,ON,ON
64200,4.4110060639067825,ON,ON
64500,4.402684456205364,ON,ON
64800,4.394369873499926,ON,ON
65100,4.378064516918613,ON,ON
65400,4.361772869433821,ON,ON
65700,4.345494917453152,ON,ON
66000,4.329230648062293,ON,ON
66300,4.312980048361794,ON,ON
66600,4.296743105467172,ON,ON
66900,4.280519806508821,ON,ON
67200,4.264310138632027,ON,ON
67500,4.248114088996957,ON,ON
67800,4.231931644778598,ON,ON
68100,4.215762793166775,ON,ON
68400,4.19960752136609,ON,ON
68700,4.185518979898276,ON,ON
69000,4.171442282474814,ON,ON
69300,4.157377417579298,ON,ON
69600,4.1433243742249175,ON,ON
69900,4.129283141437043,ON,ON
70200,4.115253708253249,ON,ON
70500,4.101236063723292,ON,ON
70800,4.087230196909104,ON,ON
71100,4.073236096884756,ON,ON
71400,4.059253752736481,ON,ON
71700,4.045283153562622,ON,ON
72000,4.0313242884735985,ON,ON
72300,4.025853330593009,ON,ON
72600,4.020387037234286,ON,ON
72900,4.01492540419045,ON,ON
73200,4.009468427329253,ON,ON
73500,4.0040161025223995,ON,ON
73800,3.9985684256455443,ON,ON
74100,3.9931253925782926,ON,ON
74400,3.987686999204172,ON,ON
74700,3.9822532414106746,ON,ON
75000,3.976824115089201,ON,ON
75300,3.9713996161350877,ON,ON
75600,3.965979740447594,ON,ON
75900,3.96554764043276,ON,ON
